id,decision_summary,cluster,historical_intent,historical_status,original_problem,assumptions,observed_state,current_evidence,existing_coverage,first_pass_observation,inference,recommendation,disposition,target_artifact,confidence,kayden_required,decision_status,source_ids,source_files,first_pass_disposition,first_pass_target
R011,A policy file is not enforcement,Authority & governance planes,"Machine enforcement requires a running consumer controlling the attempted operation. JSON, a manifest declaration, self-attestation or skill prose cannot establish it alone.",Accepted,The factory had rules describing walls without an executing boundary that enforced them.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0005 WB-0023,0005 requires a running consumer; 0029 registers which consumers enforce.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. 0005 requires a running consumer; 0029 registers which consumers enforce.",ALREADY COVERED,"ADR-0005, ADR-0023",High,False,Accepted (historical source status),WB-0005; C-ab1b55db-L37,evidence/wb-0005.md; evidence/c-ab1b55db-l37.md,ALREADY COVERED,"ADR-0005, ADR-0023"
R012,Tools handle deterministic structure; agents handle judgment,Authority & governance planes,"Use deterministic tools for mechanical checks, paths, rendering and validation; use agents for intent, ambiguity, craft and honest evidence interpretation.",Accepted,Repeated model calls for mechanical checks cost tokens without improving the check.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0023,ADR-0023 also guards against the over-reading (a missing tool cannot fail ordinary work).,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0023 also guards against the over-reading (a missing tool cannot fail ordinary work).",ALREADY COVERED,ADR-0023,High,False,Accepted (historical source status),WB-0023; C-ab1b55db-L37,evidence/wb-0023.md; evidence/c-ab1b55db-l37.md,ALREADY COVERED,ADR-0023
R013,A check can block only what it evaluates,Delivery without governance tax,A check may stop a relevant unsafe change; it cannot demand global completeness or the repaired future state as permission to perform the repair.,Accepted,Individually plausible checks composed into bootstrap deadlocks.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Doctor ran successfully with zero blockers and 33 informational findings. Registered blocking effects remain distinct from severity; delivery rules are normative.,AGENTS.md; workbench/tools/diagnostics.mjs; workbench/tools/spec-workbench.mjs,WB-0020 WB-0029,ADR-0020 forbids the global-green precondition by name.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0020 forbids the global-green precondition by name.",ALREADY COVERED,"ADR-0020, ADR-0029",High,False,Accepted (historical source status),WB-0020; D-V3,evidence/wb-0020.md; evidence/d-v3.md,ALREADY COVERED,"ADR-0020, ADR-0029"
R014,Diagnostic effects belong to trusted consumers,Delivery without governance tax,"Register diagnostic code, severity, scope and blocking effect in tool code. Preserve nonblocking attention; no artifact chooses whether its own finding blocks.",Accepted,A flat red/green report conflated unsafe manifests with unrelated stale links.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Doctor ran successfully with zero blockers and 33 informational findings. Registered blocking effects remain distinct from severity; delivery rules are normative.,AGENTS.md; workbench/tools/diagnostics.mjs; workbench/tools/spec-workbench.mjs,WB-0029,diagnostics.mjs registers code/severity/scope/effect; verified 33 attention findings block nothing.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. diagnostics.mjs registers code/severity/scope/effect; verified 33 attention findings block nothing.",ALREADY COVERED,ADR-0029,High,False,Accepted (historical source status),WB-0029,evidence/wb-0029.md,ALREADY COVERED,ADR-0029
R015,Ordinary work does not need a Job Order,Delivery without governance tax,Human-led work and multi-chat continuation can proceed under their actual authorization without creating a Job Order or completing Flight infrastructure first.,Accepted,A coordination record became a gate on the work needed to make coordination usable.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Doctor ran successfully with zero blockers and 33 informational findings. Registered blocking effects remain distinct from severity; delivery rules are normative.,AGENTS.md; workbench/tools/diagnostics.mjs; workbench/tools/spec-workbench.mjs,GO-0021 WB-0015 WB-0026,"AGENTS: 'no coordination system, order form, flight, scheduler... may be required'.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. AGENTS: 'no coordination system, order form, flight, scheduler... may be required'.",ALREADY COVERED,"ADR-0015, ADR-0026",High,False,Accepted (historical source status),GO-0021; D-V3,evidence/go-0021.md; evidence/d-v3.md,ALREADY COVERED,"ADR-0015, ADR-0026"
R016,A report never authorizes its own repair,"Evidence, review & evaluation","Review findings are evidence. The reviewer does not acquire permission to modify the audited target, dispatch repairs or publish by producing a report.",Accepted,Review and repair were repeatedly conflated.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Report format already requires evidence limitations and report-scoped IDs/shared recurrence keys. It does not separately name evaluated and reporting models. Outcome docs require controlled repeated comparisons; no new agent-outcome trial was run.,AGENTS.md; workbench/feedback/REPORT_FORMAT.md; evals/README.md; outcomes/README.md; tools/test-cross-provider-fixture.mjs,WB-0037 WB-0038 AU-0007,REPORT_FORMAT: 'A report never repairs its target or grants repair or automated-merge authority.',The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. REPORT_FORMAT: 'A report never repairs its target or grants repair or automated-merge authority.'",ALREADY COVERED,"ADR-0037, REPORT_FORMAT.md",High,False,Accepted (historical source status),WB-0038; AU-0007; C-019f7dc3-L228,evidence/wb-0038.md; evidence/au-0007.md; evidence/c-019f7dc3-l228.md,ALREADY COVERED,"ADR-0037, REPORT_FORMAT.md"
R017,"Read-only applies to the named target, not every composed activity",Skill composition & bundle,A read-only review or navigation skill constrains its target and effects; it must not accidentally prohibit another authorized skill's notepad edits or the audit application's own development.,Accepted,Category-wide read-only wording became self-contradictory when the audit room reviewed itself or skills composed.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,AU-0007 WB-0036,No upstream rule composes read-only scope with effects; AU-0007 is the only worked example.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Composition and source ownership can change independently. Preserve reusable primitives and distinguish invocation from authorization; do not adopt a metadata schema merely because one was suggested.,MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Accepted (historical source status),AU-0007; C-a9e38fdd-L87,evidence/au-0007.md; evidence/c-a9e38fdd-l87.md,MERGE WITH CAND-E,CAND-E
R018,Owner authorization is scoped and cannot be fabricated,Authority & governance planes,"An owner command authorizes a concrete scope and destination. An agent cannot manufacture owner authorization, and a child operation cannot widen the parent grant.",Accepted,A callable skill name and a document's existence are not a permission system.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,GO-0009 WB-0027,ADR-0027 covers instruction authority order but not the no-widening-by-child rule.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Child scope is already bounded by AGENTS and ADR-0027; record the composition example without a new authority layer.,MERGE WITH ADR-0027,ADR-0027,Medium,False,Accepted (historical source status),H-FR; GO-0009; C-019f6974-L93,evidence/h-fr.md; evidence/go-0009.md; evidence/c-019f6974-l93.md,MERGE WITH CAND-B,CAND-B
R019,"Separate Proof, Audit and Owner Command",Authority & governance planes,"Mechanical proof, independent judgment and explicit owner authorization answer different questions and cannot substitute for one another.",Accepted,"A passing check was sometimes treated as approval, while approval was treated as proof of delivery.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,-,"No ADR separates mechanical proof, independent judgment and owner authorization; 0023/0037 each cover one edge.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",ADR-0037 explicitly says review grants neither repair nor publication authority. Proof/judgment/authorization is a clarification of existing owners.,MERGE WITH ADR-0027,ADR-0027; ADR-0037,High,False,Accepted (historical source status),H-FR,evidence/h-fr.md,KEEP - ADR,CAND-B
R020,Nearest-root boot with explicit outer safety inheritance,Authority & governance planes,"Fresh, nested and standalone Workbenches enter through their nearest AGENTS.md. Nested rooms inherit declared outer safety boundaries, then apply the local contract.",Accepted,Ambient host and parent-project context broke portability and confused scope.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,GO-0022 WB-0026,ADR-0026 names the three boot shapes explicitly.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0026 names the three boot shapes explicitly.",ALREADY COVERED,ADR-0026,High,False,Accepted (historical source status),WB-0026; GO-0022,evidence/wb-0026.md; evidence/go-0022.md,ALREADY COVERED,ADR-0026
R021,No machine-global import of one project's interior,"Adoption, upgrade & installed integrity",Keep a project's memory routing in its own entry bridge. A machine-global instruction file should not force every unrelated project to load a private deployment's internal path.,Accepted,A layout move broke a global import and unrelated sessions inherited GPT_OS context.,"Source release, installed generation, runtime and target containment require separate evidence; unavailable state must not be filled by inference.",Setup tools and distinct source/installed receipts exist. Adoption and upgrade recovery still use collections.checkpoints. Fidelity tests passed 15/15; this report does not certify a new upgrade or deployment.,RUNBOOK.md; tools/workbench-adoption.mjs; tools/workbench-upgrade.mjs; workbench/docs/adr/0031-runtime-tools-are-workbench-managed-in-the-tools-lane.md; workbench/specs/S-041-recorded-baseline-availability/SPEC.md; tools/control-fidelity.mjs,WB-0026,Nearest-root boot consequence; no machine-global import exists in this repo.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. Nearest-root boot consequence; no machine-global import exists in this repo.",ALREADY COVERED,ADR-0026,Medium,False,Accepted (historical source status),D-V3,evidence/d-v3.md,ALREADY COVERED,ADR-0026
R022,Stable specs own capability detail; boards project active work,"Records, ownership & navigation","Blueprint holds broad direction and the spec catalog; stable specs hold requirements, acceptance, evidence and history; the hot Taskboard displays active work rather than becoming a giant second specification.",Accepted,Large boards consumed context and duplicated state that should have one owner.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Owners and traversal routes exist. ADR-0041 explicitly defers identifier implementation and connection identity; a declaration is not delivered migration.,AGENTS.md; LEXICON.md; workbench/wiki/SCHEMA.md; workbench/docs/adr/0042-traverse-dont-search-is-core-workbench-navigation.md; workbench/docs/adr/0041-visible-base62-workbench-identifiers.md,WB-0033 WB-0035,TASKBOARD.md is a generated hot-specs projection with no separate decision store; verified.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. TASKBOARD.md is a generated hot-specs projection with no separate decision store; verified.",ALREADY COVERED,"ADR-0033, ADR-0035",High,False,Accepted (historical source status),C-019f5915-L75; GO-0016,evidence/c-019f5915-l75.md; evidence/go-0016.md,ALREADY COVERED,"ADR-0033, ADR-0035"
R023,Size execution slices for a fresh context,"Records, ownership & navigation","Break work into bounded executable outcomes, with larger unknowns resolved before dependent implementation. Artifact size and delegation should follow actual complexity.",Accepted,Long chats and oversized work packets degraded judgment and made continuation expensive.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Owners and traversal routes exist. ADR-0041 explicitly defers identifier implementation and connection identity; a declaration is not delivered migration.,AGENTS.md; LEXICON.md; workbench/wiki/SCHEMA.md; workbench/docs/adr/0042-traverse-dont-search-is-core-workbench-navigation.md; workbench/docs/adr/0041-visible-base62-workbench-identifiers.md,-,tracer-bullet skill ships; no written sizing heuristic. Token/byte thresholds were never owner-accepted.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. tracer-bullet skill ships; no written sizing heuristic. Token/byte thresholds were never owner-accepted.",KEEP - DOC,RUNBOOK / tracer-bullet,Medium,False,Accepted (historical source status),C-019f68fd-L115; C-01a054e7-L190; D-CAS,evidence/c-019f68fd-l115.md; evidence/c-01a054e7-l190.md; evidence/d-cas.md,KEEP - DOC,RUNBOOK / tracer-bullet
R024,Keep completed evidence and link successors,"Records, ownership & navigation","Preserve truthful completed spec evidence and supersession links. Future capability changes belong in an active owner or linked successor, rather than rewriting completed history to look current.",Accepted,"History is needed to understand acceptance, rejection and later changes.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Owners and traversal routes exist. ADR-0041 explicitly defers identifier implementation and connection identity; a declaration is not delivered migration.,AGENTS.md; LEXICON.md; workbench/wiki/SCHEMA.md; workbench/docs/adr/0042-traverse-dont-search-is-core-workbench-navigation.md; workbench/docs/adr/0041-visible-base62-workbench-identifiers.md,WB-0003 WB-0035,AGENTS forbids rewriting append-only evidence; successor-linking has no stated owner rule.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,AGENTS already directs later capability changes to linked successors and preserves append-only evidence. R179 supplies the reachability refinement.,ALREADY COVERED,AGENTS.md; ADR-0042,Medium,False,Accepted (historical source status),B-BOUNDARIES; D-V3,evidence/b-boundaries.md; evidence/d-v3.md,MERGE WITH CAND-S,CAND-S
R025,Six lowercase support lanes ship as structural slots,"Records, ownership & navigation","Ship docs, specs, wiki, sessions, feedback and tools under lowercase workbench, even where a slot is empty.",Accepted,Undeclared folders and case differences broke clean-clone and cross-platform behavior.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Owners and traversal routes exist. ADR-0041 explicitly defers identifier implementation and connection identity; a declaration is not delivered migration.,AGENTS.md; LEXICON.md; workbench/wiki/SCHEMA.md; workbench/docs/adr/0042-traverse-dont-search-is-core-workbench-navigation.md; workbench/docs/adr/0041-visible-base62-workbench-identifiers.md,WB-0017,Six lanes present on disk and declared in manifest schema 2.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. Six lanes present on disk and declared in manifest schema 2.",ALREADY COVERED,ADR-0017,High,False,Accepted (historical source status),WB-0017; D-V3,evidence/wb-0017.md; evidence/d-v3.md,ALREADY COVERED,ADR-0017
R026,The manifest declares machine-used paths,"Records, ownership & navigation",Resolve lanes and collections through one validated manifest reader instead of guessing paths or hardcoding old layouts.,Accepted,A moved spec directory silently looked like an empty work queue; renderers could erase valid projections.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Owners and traversal routes exist. ADR-0041 explicitly defers identifier implementation and connection identity; a declaration is not delivered migration.,AGENTS.md; LEXICON.md; workbench/wiki/SCHEMA.md; workbench/docs/adr/0042-traverse-dont-search-is-core-workbench-navigation.md; workbench/docs/adr/0041-visible-base62-workbench-identifiers.md,WB-0032,manifest.json schema 2 declares six lanes and seven collections; workbench-paths.mjs is the single reader.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. manifest.json schema 2 declares six lanes and seven collections; workbench-paths.mjs is the single reader.",ALREADY COVERED,ADR-0032,High,False,Accepted (historical source status),WB-0032; D-V3,evidence/wb-0032.md; evidence/d-v3.md,ALREADY COVERED,ADR-0032
