ID,Decision summary,Cluster,Current evidence,Existing coverage,Disposition,Target artifact,Confidence,Kayden required?
R050,A handoff is authored for a particular receiver and purpose,Continuity & handoff,A `handoff` skill exists in the personal home only; no Workbench-side handoff contract.,WB-0035 WB-0040,MERGE WITH CAND-A,CAND-A,Medium,no
R051,Checkpointing and handoff are not session termination,Continuity & handoff,"RESOLVED 2026-09-07: the durable boundary becomes the promotion operation, not a checkpoint artifact. sessions/checkpoints retires as an active collection and freezes as read-only history; notepads and handoffs stay temporary sources.",-,RESOLVED,ADR (CAND-Q),High,no
R052,Preserve the entire question inventory and stable IDs,Continuity & handoff,ADR-0040 requires preserving corrections but not stable question identity across merges.,-,MERGE WITH ADR-0040,ADR-0040 amendment,Med-High,no
R053,One live session record; duplicates must declare supersession,Continuity & handoff,"VERIFIED DEFECT: installed personal checkpoint/make-it-so/grilling skills still name `workbench/sessions/grilling diary/`, which does not exist; manifest declares `workbench/sessions/grilling`.",WB-0040,KEEP - CONTRACT,S-046 schema + installed-skill repair,High,no
R054,"Cross-host transport is explicit, not incidental Git sync",Continuity & handoff,"RESOLVED 2026-09-07: a separate private `workbench_sessions` Git repository keyed by a stable per-Workbench identity, synced by a shared tool. Optional capability; ordinary local operation stays independent of it.",WB-0040,RESOLVED,ADR (CAND-N),High,no
R055,Durable evidence must survive its stated recovery boundary,Continuity & handoff,ADR-0028 covers the untracked case; release-vs-installed-vs-running is only in AU-0004 downstream.,WB-0028 WB-0031,MERGE WITH CAND-H,CAND-H,High,no
R056,Small reusable primitives and thin entrypoints,Skill composition & bundle,17-skill closed bundle exists; no composition contract is written for it.,-,MERGE WITH CAND-E,CAND-E,Medium,no
R057,"Invocation, composition and authorization are separate axes",Skill composition & bundle,`promote` uses disable-model-invocation:true; the axis distinction is real but undocumented upstream.,-,MERGE WITH CAND-E,CAND-E,Medium,no
R058,A primitive is agnostic to its first caller,Skill composition & bundle,`save` is caller-agnostic by design in the personal home; the rule is not stated upstream.,-,MERGE WITH CAND-E,CAND-E,Medium,no
R059,Compose within existing authorization without repeating approval,Skill composition & bundle,ADR-0027 gives the authority order but no scope-inheritance stop condition for composed skills.,WB-0027,MERGE WITH CAND-E,CAND-E,Medium,no
R060,Skill callability needs verification at the host boundary,Skill composition & bundle,"tools/test-symlink-invocation.mjs and test-skill-catalog.mjs check presence and discovery roots, not that a parent actually invokes a child.",WB-0005,KEEP - ADR,CAND-E,Med-High,no
R061,Skill metadata must distinguish invocation from mere mention,Skill composition & bundle,"The invokes/routes/reads schema was an assistant proposal, never owner-accepted; a grep-based edge test would fail legitimate routers.",-,REJECT,(problem retained in CAND-E),Med-High,no
R062,Skill names should avoid accidental everyday triggers,Skill composition & bundle,"`implement` is still in the required bundle, so the historical retirement was not a settled outcome.",-,KEEP - DOC,skills/README.md,Medium,no
R063,Delete empty document stubs instead of implying completeness,Skill composition & bundle,"Cheap, checkable writing convention; no ADR-level constraint.",-,KEEP - DOC,skills/README.md,High,no
R064,Stances change method without changing authority,Skill composition & bundle,Four stance skills present in skills/ and in skillPolicy.required.,WB-0036,ALREADY COVERED,ADR-0036,High,no
R065,Grilling establishes shared understanding before promotion,Skill composition & bundle,grilling ships in the bundle; AGENTS forbids requiring it for routine decisions.,WB-0035,ALREADY COVERED,"ADR-0035, grilling skill",Med-High,no
R066,Plan unknown work through decision tasks before implementation,Skill composition & bundle,AGENTS already forbids manufacturing a queue; the positive pattern is unwritten.,-,KEEP - DOC,RUNBOOK / wayfinder,Medium,no
R067,Lifecycle stages remain independently usable skills,Skill composition & bundle,Flight stages live only in the personal skills home; the generic lesson belongs to CAND-E.,-,MERGE WITH CAND-R,CAND-R,Medium,no
R068,One stable shared discovery home across providers,Skill composition & bundle,"RESOLVED 2026-09-07: three ownership scopes, two distribution tiers. KaydenClark/skills stays the canonical home for personally accepted skills and is optional from the product's view; global availability does not make a skill a Workbench feature.",-,RESOLVED,ADR (CAND-F),High,no
R069,Bundle the portable core; install missing skills without overwriting custom ones,Skill composition & bundle,"skills/ ships the core; normalSetup=presence-only, updates=explicit-only; test-core-skill-installer covers non-overwrite.",WB-0036,ALREADY COVERED,"ADR-0036, skillPolicy",High,no
R070,"Genesis, adoption and upgrade are different operations","Adoption, upgrade & installed integrity","genesis, adoption and update-harness are three separate skills with different contracts and no ADR stating why.",-,KEEP - ADR,CAND-G,High,no
R071,Adopt real projects without erasing their history,"Adoption, upgrade & installed integrity",workbench-adoption.mjs migrate implements lossless migration; the invariant has no ADR.,WB-0031 WB-0032,MERGE WITH CAND-G,CAND-G,High,no
R072,Managed runtime files have one owner and explicit update receipts,"Adoption, upgrade & installed integrity",tools lane with release/commit/per-file hashes; root tools/ stays application-owned. Dogfooded here.,WB-0031,ALREADY COVERED,ADR-0031,High,no
R073,Preflight every consumed source lane before mutation,"Adoption, upgrade & installed integrity",S-032 upgrade-route-and-source-provenance implements multi-lane preflight; no ADR.,WB-0031,MERGE WITH CAND-G,CAND-G,High,no
R074,"Release, adopted files and running behavior are separate states","Adoption, upgrade & installed integrity",AU-0004 holds this downstream only; upstream has S-039/S-042 implementing it with no ADR.,AU-0004 WB-0031,KEEP - ADR,CAND-H,High,no
R075,Use the manifest's exact integration branch,"Adoption, upgrade & installed integrity",manifest git.integrationBranch = integration; doctor registers both diagnostics.,WB-0039,ALREADY COVERED,ADR-0039,High,no
R076,Review the immutable integration candidate independently,"Delivery, remote recovery & integration",ADR-0037 accepted; AGENTS Branch Completion carries it.,WB-0037,ALREADY COVERED,ADR-0037,High,no
R077,Target movement requires review of the resulting candidate,"Delivery, remote recovery & integration",ADR-0037 says a changed candidate needs fresh review but does not name target movement as the trigger.,WB-0037,MERGE WITH ADR-0037,ADR-0037 amendment,High,no
R078,Remote recovery is proven by the actual ref and object,"Delivery, remote recovery & integration","AGENTS says a tracking upstream is not proof of containment, but no ADR carries the evidence-identity rationale; the /land skill exists only in the personal home.",-,KEEP - ADR,CAND-I,High,no
R079,Preserve dirty work and recover before cleanup,"Delivery, remote recovery & integration",AGENTS Safety preserves unrelated dirty work; recovery-before-cleanup ordering is unstated.,-,MERGE WITH CAND-I,CAND-I,High,no
R080,Public products exclude private instance state,"Adoption, upgrade & installed integrity",Public/private packaging is implied by sole-source but not stated; this repo's templates/ dogfood boundary is the live instance.,WB-0031,MERGE WITH ADR-0026,ADR-0026 amendment,Medium,no
R081,Package mechanically; review publication judgment independently,"Adoption, upgrade & installed integrity","Same proof-vs-judgment split as R019, applied to publication.",-,MERGE WITH CAND-B,CAND-B,Medium,no
R082,Integration delivery does not grant main promotion,"Delivery, remote recovery & integration",AGENTS: only the owner merges integration into main; permission layer blocks it.,WB-0039,ALREADY COVERED,"AGENTS.md, ADR-0039",High,no
R083,Completion must reconcile the owning downstream boundary,"Delivery, remote recovery & integration","AGENTS Branch Completion covers merge and containment, not the authored/reviewed/installed/running/accepted ladder.",GO-0024 WB-0037,MERGE WITH CAND-I,CAND-I,High,no
R084,Human-readable staged setup rather than an opaque giant wizard,"Adoption, upgrade & installed integrity","Setup is already staged across genesis/adoption skills plus small tools; the preference deserves recording, not enforcing.",-,KEEP - DOC,README.md / RUNBOOK.md,Medium,no
R085,"Prove the harness improves work, not just its own score","Evidence, review & evaluation","evals/ (condition-blind grader, held-out task_b), outcomes/ (conditions, mock agents) and S-002 complete all exist with NO ADR governing them.",-,KEEP - ADR,CAND-C,High,no
R086,"Use held-out, condition-blind comparisons","Evidence, review & evaluation",S-002 complete: condition-blind held-out path-safety fixture and grader.,-,MERGE WITH CAND-C,CAND-C,High,no
R087,Judge resulting state and honest incompleteness,"Evidence, review & evaluation",evals/tasks/task_a_scope_honesty grades honest incompleteness; the invariant has no durable owner.,-,MERGE WITH CAND-C,CAND-C,High,no
R088,"Inspection, observed use and behavioral tests stay separate","Evidence, review & evaluation",REPORT_FORMAT warns static checks prove no outcome improvement but does not name the three evidence types.,AU-0001,MERGE WITH CAND-D,CAND-D,High,no
R089,Evaluated model and reviewer model are independent fields,"Evidence, review & evaluation",VERIFIED GAP: REPORT_FORMAT requires target revision and skill-copy provenance but never requires naming the evaluated model separately from the reporting model.,AU-0002,KEEP - CONTRACT,REPORT_FORMAT.md + CAND-D,High,no
R090,One finding can have many observations and occurrences,"Evidence, review & evaluation",REPORT_FORMAT already scopes finding IDs to the report and requires an explicit shared recurrence key.,AU-0003,ALREADY COVERED,REPORT_FORMAT.md,High,no
R091,Execution failures are not automatically harness defects,"Evidence, review & evaluation",REPORT_FORMAT has an Evidence And Limitations section but no named execution/evidence failure states.,AU-0004,KEEP - CONTRACT,REPORT_FORMAT.md + CAND-D,Med-High,no
R092,Investigate a finding before repairing it,"Evidence, review & evaluation","'Challenged Or Rejected Findings' section requires exactly this, including retaining dissent.",WB-0037 WB-0038,ALREADY COVERED,REPORT_FORMAT.md,High,no
R093,Audit Workbench owns independent review history and visualization,"Evidence, review & evaluation",Audit_Workbench S-001 harness-review-ledger and S-003 decision-first-website own it.,AU-0006,OUT OF SCOPE,Audit_Workbench,High,no
R094,Central review storage with a standalone fallback,"Evidence, review & evaluation",Audit_Workbench S-005 release-campaigns; upstream keeps the destination-optional wording already in REPORT_FORMAT.,AU-0006,OUT OF SCOPE,Audit_Workbench,Med-High,no
R095,The reviewer must itself be reviewed independently,"Evidence, review & evaluation",VERIFIED: Audit_Workbench S-008-self-enrolment-and-reviewer-independence already owns this.,-,OUT OF SCOPE,Audit_Workbench,High,no
R096,"Separate source development, deployment and audit roles across rooms","Evidence, review & evaluation","Three rooms verified present (LLM_Workbench, GPT_OS, Audit_Workbench); ADR-0026 names only source-vs-extension, not the deployer/auditor roles.",-,MERGE WITH ADR-0026,ADR-0026 amendment,Med-High,no
R097,Review each adopted release and preserve longitudinal comparisons,"Evidence, review & evaluation",Campaign scheduling is Audit S-005; the portable identity half is folded into CAND-D.,AU-0004,OUT OF SCOPE,Audit_Workbench,Medium,no
R098,Measure owner coordination work as harness friction,"Evidence, review & evaluation",VERIFIED: S-049 is complete; the /carry skill records each occurrence where the owner still had to supply routine coordination.,-,ALREADY COVERED,S-049,High,no
R099,Preserve visibility and epistemic states rather than filling gaps,"Evidence, review & evaluation",Diagnostics already model stale/unknown states; the shared evidence vocabulary is unwritten.,-,MERGE WITH CAND-D,CAND-D,Medium,no
R100,Do not weaken criteria to make self-improvement look successful,"Evidence, review & evaluation",AGENTS forbids weakening criteria to raise a score; the baseline-retention rationale has no ADR.,-,MERGE WITH CAND-C,CAND-C,High,no
R101,Feedback repair loops are bounded and independently reviewed,"Evidence, review & evaluation",Optional automation; AGENTS already forbids the base from starting one.,-,OUT OF SCOPE,Audit_Workbench,Medium,no
R102,Setup proof precedes the feedback workflow,"Evidence, review & evaluation","ADR-0038 accepted, canonicalized in RUNBOOK/BLUEPRINT/S-027.",WB-0038,ALREADY COVERED,ADR-0038,High,no
R103,Prefer real useful acceptance work over artificial workflow evidence,"Evidence, review & evaluation",ADR-0038 rejects artificial pilots; the positive rule belongs with the evaluation contract.,WB-0038,MERGE WITH CAND-C,CAND-C,High,no
R104,Reuse the existing behavioral evaluation runner before building another,"Evidence, review & evaluation",AU-0005 is still 'Proposed' downstream; upstream evals/run.py already exists.,AU-0005,OUT OF SCOPE,Audit_Workbench,High,no
R105,Report permission fidelity across prose and provider controls,"Evidence, review & evaluation",S-034 control-fidelity-report and S-036 both complete; no ADR carries the capability-fidelity invariant.,AU-0007 WB-0005,KEEP - ADR,CAND-K,High,no
R106,One durable writer per shared surface,Coordination & concurrency,AGENTS has a one-line rule ('one single durable writer for shared spec/Taskboard state') with no rationale or general scope.,-,KEEP - ADR,CAND-M,Med-High,no
R107,A durable task is distinct from a worker or attempt,Coordination & concurrency,Job Order / Claim / Run schemas are Foundry-owned; GO-0021 removed the base requirement.,-,MERGE WITH CAND-R,CAND-R,High,no
R108,Rejection and in-scope repair stay on the same task,Coordination & concurrency,Extension retry semantics; no upstream consumer.,-,MERGE WITH CAND-R,CAND-R,High,no
R109,Captain directs; Steward manages bounded execution,Coordination & concurrency,Captain/Steward are extension roles; ADR-0036 already rejects permanent role departments upstream.,-,MERGE WITH CAND-R,CAND-R,High,no
R110,Parallel execution requires satisfied dependencies and disjoint ownership,Coordination & concurrency,The disjoint-write-surface half is portable; the dependency-gate half is coordinator-owned.,-,MERGE WITH CAND-M,CAND-M,Medium,no
R111,"Keep implementation, review and mutation authority distinct",Coordination & concurrency,ADR-0037 forbids self-review satisfying the gate; CAND-B carries the general separation.,WB-0037,ALREADY COVERED,"ADR-0037, CAND-B",High,no
R112,The seven Flight stages must form a real installed chain,Coordination & concurrency,Seven Flight stage skills exist only in the personal home; not a Workbench capability.,-,MERGE WITH CAND-R,CAND-R,High,no
R113,"Handoffs preserve context and exact evidence, not authority",Coordination & concurrency,Handoff-preserves-context-not-authority is the same rule CAND-A must state.,WB-0040 GO-0012,MERGE WITH CAND-A,CAND-A,High,no
R114,Preflight checks facts immediately before sensitive execution,Coordination & concurrency,The portable half is 'reread race-sensitive state at the boundary'; Flight receipts stay extension-owned.,-,MERGE WITH CAND-I,CAND-I,Medium,no
R115,One lifecycle transaction includes one Journal event,Coordination & concurrency,Journal/lifecycle engine is extension-only.,-,MERGE WITH CAND-R,CAND-R,High,no
R116,Cooperative compare-and-swap is not hostile-writer enforcement,Coordination & concurrency,CAS is extension-only; its honesty lesson is generic but already covered by ADR-0005.,-,MERGE WITH CAND-R,CAND-R,High,no
R117,Multi-repository parents aggregate immutable child results,Coordination & concurrency,Multi-repository parent aggregation has no upstream consumer.,-,MERGE WITH CAND-R,CAND-R,High,no
R118,Bound automatic repair and distinguish ambiguous results,Coordination & concurrency,Bounded automatic repair is coordinator policy.,-,MERGE WITH CAND-R,CAND-R,High,no
R119,Versioned lifecycle migration has one live writer,Coordination & concurrency,"Lifecycle migration with one live writer; extension-owned, echoes CAND-M.",-,MERGE WITH CAND-R,CAND-R,High,no
R120,Date-only freshness uses the declared local day,Coordination & concurrency,VERIFIED GAP: diagnostics.mjs stale-claim says 'older than one working day' and no tool defines the day boundary or timezone.,-,KEEP - DOC,LEXICON.md / RUNBOOK.md,Med-High,no
R121,Evidence partition must preserve exact prior bytes and proof boundaries,"Evidence, review & evaluation","S-036/S-038 hit this in practice; a rollover convention is owed, not an ADR.",-,KEEP - DOC,RUNBOOK.md,Medium,no
R122,Foundry connects Workbench rooms through optional capabilities,Extension architecture (Foundry/CIC/Audit),ADR-0015 already names Foundry's capabilities; the architecture detail is history.,WB-0015,MERGE WITH CAND-R,CAND-R,High,no
R123,Sockets are capability contracts; modules use declared interfaces,Extension architecture (Foundry/CIC/Audit),"Socket contract; tools/socket-contract.mjs exists but serves Foundry-slice work, not the base.",-,MERGE WITH CAND-R,CAND-R,High,no
R124,Socket-to-module cardinality is asymmetric many-to-many,Extension architecture (Foundry/CIC/Audit),Extension data model.,-,MERGE WITH CAND-R,CAND-R,High,no
R125,"Blessed means a suitable implementation, not owner authorship",Extension architecture (Foundry/CIC/Audit),Definition correction worth preserving as lineage.,-,MERGE WITH CAND-R,CAND-R,High,no
R126,Halls are vertical functional boundaries,Extension architecture (Foundry/CIC/Audit),Hall counts explicitly historical.,-,MERGE WITH CAND-R,CAND-R,High,no
R127,"Separate domain core, execution engine and orchestration",Extension architecture (Foundry/CIC/Audit),Domain/engine/orchestration split; no upstream consumer.,-,MERGE WITH CAND-R,CAND-R,High,no
R128,Replace scaffolding only after preserving its rules in the successor,Extension architecture (Foundry/CIC/Audit),Sandcastle is not a current dependency.,-,MERGE WITH CAND-R,CAND-R,High,no
R129,Each Hall builds the deterministic workers it needs,Extension architecture (Foundry/CIC/Audit),Correction to the all-Pawns model; history.,-,MERGE WITH CAND-R,CAND-R,High,no
R130,Gatehouse enforces passage but does not grant authority,Extension architecture (Foundry/CIC/Audit),Gatehouse separation; GO-0006 downstream.,GO-0006,MERGE WITH CAND-R,CAND-R,High,no
R131,"Scheduling, orchestration, validation and audit have separate responsibilities",Extension architecture (Foundry/CIC/Audit),Thirteen-Hall responsibility map; explicitly not thirteen services.,-,MERGE WITH CAND-R,CAND-R,High,no
R132,"Public source, installed module and running service have distinct owners",Extension architecture (Foundry/CIC/Audit),Producer/installed/running split — the generic half is CAND-H.,-,MERGE WITH CAND-R,CAND-R,High,no
R133,Operating identity is independent of the model engine,Extension architecture (Foundry/CIC/Audit),Provider-neutral identity; the generic half is already in ADR-0041 and CAND-D.,-,MERGE WITH CAND-R,CAND-R,High,no
R134,"CAS separates owner-facing direction, factory execution and outside-world assistance",Extension architecture (Foundry/CIC/Audit),CAS roles; name collision noted in source.,-,MERGE WITH CAND-R,CAND-R,High,no
R135,A connected system must still cold-start from its own records,Extension architecture (Foundry/CIC/Audit),Cold-start-from-own-records is the same acceptance boundary CAND-A states.,-,MERGE WITH CAND-A,CAND-A,High,no
R136,Cross-machine sync targets selected structure and knowledge,Extension architecture (Foundry/CIC/Audit),"RESOLVED 2026-09-07: the sync scope is live notepads, grilling records and handoffs only - project-owned schemas, templates and promoted documentation stay in the project repository, satisfying the selected-structure requirement.",-,RESOLVED,ADR (CAND-N),High,no
R137,Schematic explains intended design; CIC mirrors live state,Extension architecture (Foundry/CIC/Audit),Schematic/CIC separation; extension products.,-,MERGE WITH CAND-R,CAND-R,High,no
R138,"Show workflow, governance and structure as distinct views",Extension architecture (Foundry/CIC/Audit),View architecture; not a base requirement.,-,MERGE WITH CAND-R,CAND-R,High,no
R139,The simulator is deterministic and can expose failure paths,Extension architecture (Foundry/CIC/Audit),Simulator determinism; extension product.,-,MERGE WITH CAND-R,CAND-R,High,no
R140,"Draft, explicit send and authorized work are separate states",Extension architecture (Foundry/CIC/Audit),"Draft/send/authorize boundary — generic value noted, no upstream interface exists.",-,MERGE WITH CAND-R,CAND-R,High,no
R141,Show the selected route and preserve the task's home,Extension architecture (Foundry/CIC/Audit),Multi-provider Entrance; no upstream consumer.,-,MERGE WITH CAND-R,CAND-R,High,no
R142,A dashboard state change can express intent without completing work,Extension architecture (Foundry/CIC/Audit),"Intent-vs-observed-state on a board; upstream TASKBOARD is generated, so it cannot express intent.",-,MERGE WITH CAND-R,CAND-R,High,no
R143,"Liveness, load, reasoning effort and work status are separate signals",Extension architecture (Foundry/CIC/Audit),Liveness/load/effort/status separation; extension telemetry.,-,MERGE WITH CAND-R,CAND-R,High,no
